      y+          U+           u'+            v'+           w'+           u'v'+
1.205691e+03 2.283098e+01 1.882395e+00 1.014878e+00 1.162052e+00 -7.114704e-01
1.213477e+03 2.284783e+01 1.879328e+00 1.013973e+00 1.160611e+00 -7.096425e-01
1.221277e+03 2.286463e+01 1.876261e+00 1.013065e+00 1.159170e+00 -7.077161e-01
1.229089e+03 2.288136e+01 1.873188e+00 1.012153e+00 1.157729e+00 -7.058449e-01
1.236916e+03 2.289804e+01 1.870109e+00 1.011237e+00 1.156289e+00 -7.039615e-01
1.244755e+03 2.291466e+01 1.867020e+00 1.010315e+00 1.154853e+00 -7.021330e-01
1.252608e+03 2.293122e+01 1.863927e+00 1.009389e+00 1.153419e+00 -7.002807e-01
1.260474e+03 2.294771e+01 1.860832e+00 1.008459e+00 1.151988e+00 -6.983979e-01
1.268353e+03 2.296414e+01 1.857740e+00 1.007524e+00 1.150555e+00 -6.964813e-01
1.276245e+03 2.298049e+01 1.854652e+00 1.006585e+00 1.149117e+00 -6.945702e-01
1.284150e+03 2.299678e+01 1.851569e+00 1.005642e+00 1.147669e+00 -6.927200e-01
1.292068e+03 2.301300e+01 1.848489e+00 1.004693e+00 1.146210e+00 -6.908137e-01
1.300000e+03 2.302915e+01 1.845413e+00 1.003739e+00 1.144744e+00 -6.888980e-01
1.307944e+03 2.304524e+01 1.842339e+00 1.002779e+00 1.143278e+00 -6.869691e-01
1.315901e+03 2.306126e+01 1.839266e+00 1.001814e+00 1.141817e+00 -6.851406e-01
1.323871e+03 2.307721e+01 1.836194e+00 1.000841e+00 1.140364e+00 -6.831779e-01
1.331854e+03 2.309310e+01 1.833128e+00 9.998613e-01 1.138920e+00 -6.812814e-01
1.339850e+03 2.310894e+01 1.830072e+00 9.988728e-01 1.137488e+00 -6.793825e-01
1.347858e+03 2.312471e+01 1.827026e+00 9.978759e-01 1.136067e+00 -6.774210e-01
1.355880e+03 2.314042e+01 1.823988e+00 9.968709e-01 1.134655e+00 -6.755507e-01
1.363913e+03 2.315607e+01 1.820957e+00 9.958586e-01 1.133252e+00 -6.736496e-01
1.371960e+03 2.317167e+01 1.817929e+00 9.948402e-01 1.131856e+00 -6.716786e-01
1.380019e+03 2.318722e+01 1.814900e+00 9.938160e-01 1.130464e+00 -6.697510e-01
1.388091e+03 2.320272e+01 1.811869e+00 9.927858e-01 1.129075e+00 -6.678491e-01
